Subject name,Subject ID,Credit,Category,Subcategory,Recommendation
Discrete Mathematics,1204211,3,Specific,,2
ADT and Problem Solving,1204212,3,Specific,,2
ADT Laboratory,1219212,1,Specific,,2
Software Development Training Camp,1219211,1,Specific,,2
Communication Skills for SKE,1200111,3,Specific,,2
Prob Stat for SKE,1219214,3,Specific,,2
Computer Organization and Architecture,1219221,3,Specific,,2
Foundation English II,1355112,3,Language,,23
Foundation English III,1355113,3,Language,,23
Technical English,1355206,3,Language,,23
Fundamental English Listening Speaking,1355204,3,Language,,23
Elementary Japanese I,1358101,3,Free Elective,,3
Principle of Marketing,1134111,3,Free Elective,,3
Innovative Thinking,1200101,1,General,Science and Mathematics,23
Food for Mankind,1999011,3,General,Science and Mathematics,23
Health for Life,1999012,3,General,Science and Mathematics,23
New Age Information Management in Everyday Life,1999013,3,General,Science and Mathematics,23
Mathematics and Computer in Everyday Life,1999211,3,General,Science and Mathematics,23
Concepts of Sciences and Philosophy,1999212,3,General,Science and Mathematics,23
Environment Technology and Life,1999213,3,General,Science and Mathematics,23
Man and Society,1999141,3,General,Social Sciences,23
Economic for Better Living,1999041,3,General,Social Sciences,23
Arts of Living,1999033,3,General,Humanities,23
Thai Studies,1999021,3,General,Humanities,23
Engineering Mathematics I,1417167,3,Math and Physics,,23
Engineering Mathematics II,1417168,3,Math and Physics,,23
General Physics I,1420111,3,Math and Physics,,23
General Physics II,1420112,3,Math and Physics,,23
Laboratory in Physics I,1420113,1,Math and Physics,,23
Laboratory in Physics II,1420114,1,Math and Physics,,23
Social Dancing,1175143,1,Sport,,23
Badminton for Health,1175112,1,Sport,,23
Basketball for Health,1175121,1,Sport,,23
Weight Training for Health,1175165,1,Sport,,23
Tennis for Health,1175113,1,Sport,,23
Knowledge Engineering and Knowledge Management,1219271,3,Specific,,3
Data Communication and Computer Networks Program,1219321,3,Specific,,3
Workgroup Software Process,1219347,3,Specific,,3
Workgroup Software Process Lab,1219348,1,Specific,,3
Knowledge Representation,1219363,3,Specific,,3
Group Dynamic and Psychology,1219391,3,Specific,,3
Coorperative Education,1219490,9,Specific,,4
